Job Title,Company Name,Education,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
Digital Marketing Lead,Marketing Edge,4,4.7,4.6,4.3,4.2,4.1,4.5,4.1,4.4,5,4.5,3.8,3.4,4.2,4.8,4.3,5,4.6
Operations Coordinator,SwiftOps,3,4.3,4.1,3.8,4,4.3,4,4.2,3.9,4.4,4.3,3.7,2.8,4,4.2,4.3,4.4,3.8
Supply Chain Manager,SupplyChain Pros,4,4.6,4.9,3.9,4.1,4.2,4.6,4.4,3.3,4.9,4.4,3.8,3.3,4.5,5,4.5,4.2,4.4
Business Development,GrowthX,3,4.2,4,3.8,3.7,4.1,5,4.1,3.9,5,4.5,3.5,3.1,4,4.6,4,4.5,4
Software Developer,App Solutions,4,4.4,5,4.1,4.2,4.4,4,4.1,3.5,4.3,5,4,3.2,2.8,5,4.4,5,3.9
Marketing Coordinator,BrandWorks,3,4.2,4.2,4.5,3.8,4,4.2,4,3.8,4.3,4.2,3.5,2.9,4.1,4.5,4.3,4.2,4.4
Product Manager,NextGen Tech,4,4.6,4.7,4.2,4.3,4.2,4.5,4.3,4,4.8,4.5,3.9,3.6,4,5,5,4.6,4.4
HR Generalist,PeopleCare,3,3.5,3.8,3.6,3,4,4.7,4,3.2,4.1,4,3.5,2.7,4.3,4,3.9,3.7,4.1
Operations Director,EliteOps,5,4.8,4.9,4.7,4.5,4.2,4.6,4.5,4.2,5,5,4,3.8,4.3,4.9,5,4.9,4.7
Farmer,GreenFields,1,3.8,2.2,3,3.5,4.4,4.7,4.6,5,3.9,2.1,4,5,5,4.7,4.1,3.5,2.7
Creative Director,Inspire Agency,4,4.8,4.5,5,4.6,4.3,4.4,4,4.2,5,4.9,3.5,2.9,4.2,4.8,4.5,4.7,5
Construction Manager,BuildRight,3,4,3.5,3.9,4,4.1,4,4.6,4,4.3,4.2,4.7,4,5,5,4.6,4.2,3.7
Chef,LaCuisine,2,3.9,3,4.2,3.8,5,5,4.5,4.8,4.1,3.2,3.1,5,5,4.8,4,4.5,4.9
Actor,Star Productions,2,4.5,3,5,4,4.2,3.7,3.6,4.4,4.9,2.8,2,3.5,5,4.4,4.5,4.8,5
Agricultural Scientist,AgriTech,5,4.6,4.9,4.5,5,4.8,4.3,4.1,3,4.4,4.9,5,3.6,4.2,5,5,5,4.5
Retail Manager,ShopPlus,3,4.3,4.1,4.2,4,4.3,4.9,4,4.2,4.6,4.2,3.8,2.5,4,4.6,4.4,4.1,4
Electrician,PowerPro,2,4,3.8,3.1,4.3,4.1,4.4,4.8,5,3.7,3.2,5,4.5,5,4.7,3.9,3.8,2.5
Photographer,Capture Studios,3,4.2,4.5,4.7,3.9,4.2,4.1,3.8,4,5,4.4,3.7,3.3,4.2,4.5,4.8,4.2,4.5
Lawyer,Justice Firm,5,4.7,4.9,3.8,5,4.8,4.2,3.6,3.9,4.9,5,4.6,3,4.3,5,4.9,5,4.3
Paralegal,Legal Support,4,4.5,4,4.1,4.4,4.1,4.5,4,3.5,4,4.4,3.7,3.3,4.2,4.8,4.3,4.2,4.1
Nurse,HealthCarePlus,3,4.2,3.4,3.6,4.8,5,5,4.5,4.8,4.3,3.5,3.9,3.8,4.6,4,5,4.6,5
Truck Driver,Swift Transport,1,4,2.5,3,3.8,4.5,4,4.8,5,4.2,2.7,3,5,4.9,4.3,3.8,3.9,2.8
Product Designer,Creative Ideas,4,4.6,4.8,4.3,4.1,4.4,4.5,4.2,4.5,5,4.8,3.9,3.2,4,4.7,4.4,5,4.6
Personal Trainer,FitLife,2,4.3,3.1,3.5,3.9,4.9,5,4.7,5,4.4,3.7,2.8,5,5,4.9,4,4.5,4.2
Web Developer,WebWorks,3,4.7,5,4.4,4.3,4.1,4.3,4,3.6,5,5,4.2,3.1,4,5,4.6,5,4.2
Social Media Manager,SocialBuzz,4,4.5,4.3,4.7,4.1,4.2,5,4.4,4.1,5,4.3,3.6,2.8,4.1,4.8,4.4,5,4.7
Construction Worker,BuildIt,1,4,3.2,3.1,4.2,4.6,5,5,5,3.7,3.1,4,5,5,4.9,4,3.8,2.5
SEO Specialist,RankMaster,3,4.4,4.7,4.5,4.2,4,4.6,4.2,3.7,5,4.4,3.5,3.2,4.1,5,4.7,5,4.5
Carpenter,WoodWorks,2,4.2,3.8,3.3,4.4,4,5,4.6,5,4.3,3,4.2,5,5,4.8,3.9,4.2,3.1
Data Scientist,DataVision,4,4.9,5,4.6,4.8,4.5,4.3,4.2,3.8,4.7,5,4.3,3.4,4.2,5,4.8,5,4.4
Copywriter,AdWords,3,4.5,4.2,4.8,4.3,4.1,4.2,4,3.8,5,4.2,3.6,3,4,4.6,4.3,4.7,5
Veterinarian,AnimalCare,5,4.7,4.5,4.3,5,4.6,5,4.4,4.2,4.7,4.8,4.4,3.6,4.3,5,5,5,4.7
Scientist,Quantum Labs,5,4.8,5,4.7,5,4.9,4.3,4,3.8,4.9,5,5,3.2,4.2,5,5,5,4.9
Farming Technician,AgriFuture,2,4,3.2,3.6,3.9,4.3,4.9,4.7,5,3.7,2.5,4.1,5,5,4.6,4,3.8,3.2
Library Assistant,City Library,2,3.9,3.3,3.4,3.6,4.2,4.6,4.5,3.8,4,3.8,2.7,2.8,4.2,4,4.3,4.2,5
Art Teacher,Creative Academy,4,4.6,3.8,5,4.2,4.4,4.7,4,4.3,4.9,4.1,3.4,3.1,4.3,4.4,4.7,4.5,4.6
Fashion Designer,StyleMakers,4,4.7,4.6,5,4.3,4,4.5,4.4,4.5,4.9,4.3,3.8,3,4.5,5,4.8,4.6,5
Construction Laborer,BuildMaster,1,4,3,3.2,4,4.6,5,4.9,5,3.6,2.8,3.5,5,5,4.8,4.2,3.8,2.9
Corporate Lawyer,BigLaw Firm,5,4.9,4.7,4,5,4.9,4.3,3.8,4,4.9,5,4.8,3.2,4.5,5,5,4.8,4.4
Landscape Architect,GreenScapes,4,4.5,4.2,4.4,4.1,4,4.5,4.3,4.5,5,4.2,3.7,3.1,4.1,5,4.6,4.4,4.8
Retail Sales Associate,QuickShop,1,4,3.5,3.3,4,4.3,5,4.2,4.6,4.3,3.6,3,3.8,4.4,4.6,3.9,4.2,4.5
Interpreter,GlobalComm,4,4.7,3.5,4.3,4,4.1,4,4.1,4.7,4.9,4.2,3.6,3.5,4.4,4.8,4.5,4.7,5
Baker,SweetTreats,2,3.9,3,4.4,3.8,5,5,4.7,4.9,4.1,2.9,3.8,5,5,4.8,4,4.4,4.7
Construction Surveyor,BuildTech,3,4.3,4.1,3.7,4.2,4,4.5,4.3,4.2,4.5,4.1,3.5,3.1,4.2,4.7,4.6,4.2,3.8
Journal Editor,Science Journal,4,4.4,3.6,4.2,4.5,4.1,4,4.3,3.9,4.8,4.3,3.7,3.2,4.5,4.8,5,5,5
Farm Manager,AgriCorp,3,4.2,3.5,3.8,4,4.3,5,4.7,5,4.3,3.8,4,5,5,4.8,4,3.6,4
Photographer Assistant,ShutterPro,1,4.3,3.5,3.6,3.9,4.2,4.8,4.4,4.6,4.2,3.3,3.2,3.8,4.6,4.2,4,4.3,4.9
Sports Coach,EliteSports,4,4.8,3.2,4,4.5,4.6,5,4.8,5,4.3,3.9,3.8,4,5,5,4.7,4.6,4.2
Plumber,FixIt Plumbing,2,4.3,3.8,3.1,4,4.5,5,4.7,5,3.9,3.3,4.2,5,5,4.7,4.1,3.8,2.7
Biologist,GreenTech Labs,5,4.9,5,4.5,5,4.8,4.3,4.1,3.8,4.7,5,5,4.3,4.2,5,5,5,4.8
Fashion Stylist,TrendyStyle,3,4.2,4.3,4.6,4,4.4,4.5,4.1,4.2,4.8,4.3,3.7,3.2,4.4,4.9,4.5,4.3,5
Insurance Agent,SecureLife,3,4.4,3.8,3.5,4.2,4.3,5,4.4,4.1,4.5,4.2,3.6,3.4,4.2,4.8,4,4.7,4.3
Medical Assistant,HealthFirst,2,4,3.5,3.6,4.3,4.8,5,4.8,4.9,4.3,3.4,3.2,4.9,5,4.8,4.4,4.2,4.9
Restaurant Manager,FoodWorks,3,4.5,3.7,4.3,4.1,4.3,5,4,4.2,4.5,4,3.8,3,4.1,4.5,4.7,4.3,4.5
Social Worker,Hope Foundation,4,4.3,3.9,4.1,4.7,5,5,4.7,4.5,4.4,3.6,3.2,4.2,5,5,4.9,4.8,4.7
Environmental Scientist,EarthSolutions,5,4.9,5,4.7,5,4.8,4.2,4,3.5,4.9,5,5,4.2,4.3,5,5,5,4.9
Bartender,PubLife,2,4.1,3.3,3.6,3.9,4.5,5,4.4,4.7,4.2,3.5,3.3,5,5,4.8,4.3,4.2,4.4
Physician,HealthNet,5,4.9,4.7,4.5,5,5,4.3,4,4.3,5,5,4.6,3.9,4.1,5,5,5,4.8
Cinematographer,FilmWorks,4,4.7,4.6,5.0,4.4,4.3,4.8,4.2,4.1,5.0,4.7,3.9,3.1,4.3,5.0,4.9,4.8,5.0
Hydrologist,WaterSciences,5,4.9,4.8,4.7,5.0,4.7,4.1,4.0,4.2,5.0,5.0,5.0,3.8,4.3,5.0,5.0,5.0,4.9
Tax Advisor,TaxConsult,5,4.6,4.5,3.8,4.9,4.3,4.0,4.2,3.8,4.8,5.0,4.6,3.4,4.2,5.0,4.7,4.9,3.7
Television Producer,MediaMax,4,4.8,4.5,5.0,4.6,4.2,4.4,4.3,4.1,5.0,4.9,3.9,3.2,4.1,5.0,5.0,5.0,4.8
Biochemist,BioHealth Labs,5,4.9,5.0,4.8,5.0,4.6,4.2,4.1,4.0,5.0,5.0,5.0,4.2,4.3,5.0,5.0,5.0,4.9
Personal Chef,Private Dining,2,4.3,3.5,4.6,3.8,5.0,5.0,4.9,4.8,4.2,3.1,3.2,5.0,5.0,4.8,4.3,4.4,4.7
Event Planner,Elite Events,3,4.5,4.1,4.7,4.3,4.4,5.0,4.0,4.1,4.7,4.3,3.8,3.2,4.2,4.9,5.0,5.0,4.9
Business Consultant,ConsultPro,5,4.8,4.6,4.5,4.9,4.3,4.2,4.1,3.9,5.0,4.9,4.3,3.6,4.1,5.0,4.7,5.0,4.4
Marine Biologist,Oceanic Research,5,4.9,5.0,4.7,5.0,4.8,4.4,4.2,4.0,5.0,5.0,5.0,4.3,4.2,5.0,5.0,5.0,4.9
Speech Therapist,VoiceCare,4,4.5,3.8,4.0,4.3,5.0,5.0,4.9,4.7,4.3,3.7,3.3,4.6,5.0,5.0,4.7,4.9,4.3
Veterinary Technician,PetCare Clinic,2,4.3,3.6,4.1,4.2,5.0,5.0,4.8,4.9,4.0,3.5,3.3,4.8,5.0,4.7,4.0,4.1,4.9
UX Designer,TechCraft,4,4.8,4.9,4.7,4.6,4.2,4.4,4.3,3.8,5.0,5.0,4.5,3.4,4.0,5.0,4.8,5.0,4.7
Flight Attendant,SkyWays,2,4.4,3.8,3.9,4.3,5.0,5.0,4.9,4.6,4.1,3.4,3.2,5.0,5.0,4.7,4.4,4.2,4.5
Data Analyst,DataPro,4,4.9,5.0,4.6,4.8,4.3,4.0,4.2,3.6,5.0,4.9,4.3,3.3,4.2,5.0,4.9,5.0,4.4
Film Director,Visionary Films,5,4.9,4.8,5.0,4.7,4.4,4.9,4.5,4.3,5.0,5.0,4.7,3.9,4.0,5.0,5.0,5.0,4.9
Musician,SoundWave Studios,3,4.6,3.9,5.0,4.1,4.2,4.8,4.7,4.6,4.9,4.3,3.8,3.1,4.6,5.0,4.9,5.0,5.0
Massage Therapist,RelaxNow Spa,2,4.2,3.1,4.0,3.9,5.0,5.0,4.7,4.9,4.3,3.5,3.6,5.0,5.0,4.8,4.0,4.3,4.9
Real Estate Agent,HomeFinders,3,4.5,4.0,3.9,4.2,4.3,5.0,4.3,4.1,4.5,4.2,3.6,3.0,4.4,4.8,4.7,5.0,4.6
Fashion Photographer,PhotoStyle,3,4.4,4.6,5.0,4.2,4.1,4.8,4.0,4.1,5.0,4.6,3.8,3.3,4.2,5.0,5.0,5.0,4.7
Fitness Instructor,FitZone,2,4.3,3.6,3.9,4.0,4.9,5.0,4.6,5.0,4.4,3.5,3.2,5.0,5.0,4.9,4.3,4.8,4.2
Public Relations Specialist,BrandMasters,4,4.8,4.3,4.5,4.6,4.2,4.7,4.2,4.0,5.0,4.7,3.9,3.5,4.3,5.0,4.9,5.0,4.6
Geologist,RockSolid,5,4.8,4.7,4.6,5.0,4.9,4.3,4.2,4.0,5.0,5.0,5.0,4.3,4.2,5.0,5.0,5.0,4.9
HR Manager,PeopleFirst,4,4.6,4.2,4.0,4.3,4.1,4.7,4.5,4.1,4.8,4.5,4.2,3.8,4.2,4.9,4.5,5.0,4.7
Pet Groomer,Paws and Claws,2,4.2,3.5,4.2,3.8,5.0,5.0,4.7,4.9,4.1,3.2,3.1,5.0,5.0,4.8,4.0,4.4,4.7
Author,StoryTime Publishing,4,4.9,4.3,4.8,4.2,4.0,4.1,3.7,3.6,5.0,5.0,4.7,3.3,4.5,5.0,5.0,5.0,5.0
Web Developer,CodeWorks,4,4.8,5.0,4.6,4.3,4.4,4.5,4.2,3.8,5.0,5.0,4.2,3.0,4.1,5.0,4.7,5.0,4.5

